trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.1, 'e': 0.8671875542922549}",30,0,-105.93650702917063,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.8650222931107413}",20,0,-56.43640788134104,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
59,False,"{'a': 0.1, 'e': 0.8628624383213754}",20,0,-103.55389818488553,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.8607079764250578}",25,10,-101.25928404223107,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 1}",1
61,False,"{'a': 0.1, 'e': 0.8585588939563946}",20,0,-29.32258535398484,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.1, 'e': 0.8564151774836135}",30,0,-145.30290244801964,"{0: 15, 1: 4, 2: 10, 3: 0, 4: 1}",0
63,False,"{'a': 0.1, 'e': 0.8542768136084795}",25,0,-77.56313241675218,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.1, 'e': 0.8521437889662113}",30,20,-6.764564347709966,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.1, 'e': 0.8500160902253981}",25,0,-97.575447969879,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.8478937040879159}",20,0,-111.28651521835387,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
67,False,"{'a': 0.1, 'e': 0.8457766172888441}",25,0,-138.92631156684297,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.1, 'e': 0.8436648165963837}",25,11,-86.29750306384992,"{0: 9, 1: 1, 2: 0, 3: 3, 4: 1}",1
69,False,"{'a': 0.1, 'e': 0.8415582888117732}",30,10,-161.02224885443962,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",1
70,False,"{'a': 0.1, 'e': 0.8394570207692074}",20,12,-28.09034643756122,"{0: 4, 1: 3, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.1, 'e': 0.8373609993357539}",30,16,-51.18212802716149,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.1, 'e': 0.835270211411272}",30,0,-162.4786750510163,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
73,False,"{'a': 0.1, 'e': 0.8331846439283305}",30,0,-144.45121164054297,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
74,False,"{'a': 0.1, 'e': 0.8311042838521256}",20,0,-33.79825773214143,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
75,False,"{'a': 0.1, 'e': 0.8290291181804004}",25,7,-120.69255454467765,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 2}",1
76,False,"{'a': 0.1, 'e': 0.8269591339433623}",20,0,-121.34176179998535,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
77,False,"{'a': 0.1, 'e': 0.8248943182036034}",25,19,6.3424437047859445,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.8228346580560184}",25,0,-172.92912026678604,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
79,False,"{'a': 0.1, 'e': 0.8207801406277248}",20,0,-61.859881348431664,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.8187307530779818}",25,6,-80.93526274192304,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.8166864825981108}",20,0,-5.8609105798088885,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.8146473164114145}",25,0,-66.17289177706361,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.8126132417730977}",30,5,-99.6822432995484,"{0: 14, 1: 6, 2: 1, 3: 4, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.8105842459701871}",25,0,-154.12097222877264,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.1, 'e': 0.8085603163214524}",20,11,-26.034805992143802,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.8065414401773269}",20,0,-106.41098533217482,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.8045276049198279}",20,0,-69.33962121353422,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
88,False,"{'a': 0.1, 'e': 0.8025187979624785}",30,0,-120.42591713399683,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
89,False,"{'a': 0.1, 'e': 0.8005150067502288}",25,0,-36.22011059924846,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.1, 'e': 0.7985162187593771}",25,0,-189.4400611788382,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
91,False,"{'a': 0.1, 'e': 0.7965224214974919}",30,0,-87.83903923973766,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
92,False,"{'a': 0.1, 'e': 0.794533602503334}",25,0,-117.35383896971285,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
93,False,"{'a': 0.1, 'e': 0.7925497493467781}",30,0,-97.1785477244361,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
94,False,"{'a': 0.1, 'e': 0.7905708496287356}",25,0,-75.07487256499832,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.7885968909810767}",25,0,-33.82852341936479,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
96,False,"{'a': 0.1, 'e': 0.7866278610665535}",20,0,-60.085687649184266,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
97,False,"{'a': 0.1, 'e': 0.7846637475787225}",35,0,-39.1770414987849,"{0: 28, 1: 4, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.1, 'e': 0.7827045382418681}",25,0,-22.00205592841419,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.1, 'e': 0.7807502208109257}",25,0,-40.772690544844906,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.7788007830714049}",20,0,-12.996294816331806,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.1, 'e': 0.7768562128393134}",20,0,-130.34449247354792,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
102,False,"{'a': 0.1, 'e': 0.774916497961081}",25,0,-143.668659309847,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",1
103,False,"{'a': 0.1, 'e': 0.7729816263134832}",20,0,-19.36805120435386,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.1, 'e': 0.7710515858035663}",25,0,-61.99105846648209,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.1, 'e': 0.7691263643685705}",20,0,-67.70580286212594,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
106,False,"{'a': 0.1, 'e': 0.7672059499758557}",25,0,-67.46449693883635,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.1, 'e': 0.7652903306228257}",25,0,-90.52334805179633,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.1, 'e': 0.7633794943368531}",25,0,-28.588097531297368,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.7614734291752052}",20,0,-43.20331620681179,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.7595721232249685}",25,17,-4.973165219086744,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.7576755646029744}",25,0,-136.7240984909033,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
112,False,"{'a': 0.1, 'e': 0.7557837414557255}",20,0,-131.53366052449474,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
113,False,"{'a': 0.1, 'e': 0.7538966419593208}",20,0,-167.9166939876359,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
114,False,"{'a': 0.1, 'e': 0.7520142543193826}",20,13,-32.2974459947029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.1, 'e': 0.7501365667709818}",20,0,-23.038638506967843,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.1, 'e': 0.7482635675785653}",20,7,-83.10005290887068,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
117,False,"{'a': 0.1, 'e': 0.7463952450358817}",20,0,-117.69426633914813,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
118,False,"{'a': 0.1, 'e': 0.7445315874659094}",25,0,-98.87563478789448,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
119,False,"{'a': 0.1, 'e': 0.7426725832207823}",20,0,-31.983371850403145,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.1, 'e': 0.7408182206817179}",30,0,-122.57979285898865,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
121,False,"{'a': 0.1, 'e': 0.7389684882589442}",20,0,-81.55518193556527,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
122,False,"{'a': 0.1, 'e': 0.7371233743916278}",25,2,-56.97292379888177,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
123,False,"{'a': 0.1, 'e': 0.7352828675478007}",35,22,-83.27846237234333,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
